"ids","error","source","code","solution"
"11","junit.framework.AssertionFailedError","/source/org/jfree/chart/plot/MultiplePiePlot.java","
      
     public MultiplePiePlot(CategoryDataset dataset) {
         super();
        this.dataset = dataset;
         PiePlot piePlot = new PiePlot(null);
         this.pieChart = new JFreeChart(piePlot);
         this.pieChart.removeLegend();
","
      
     public MultiplePiePlot(CategoryDataset dataset) {
         super();
        setDataset(dataset);
         PiePlot piePlot = new PiePlot(null);
         this.pieChart = new JFreeChart(piePlot);
         this.pieChart.removeLegend();
"
"12","junit.framework.AssertionFailedError","/source/org/jfree/chart/util/ShapeUtilities.java","
             return false;
         }
         PathIterator iterator1 = p1.getPathIterator(null);
        PathIterator iterator2 = p1.getPathIterator(null);
         double[] d1 = new double[6];
         double[] d2 = new double[6];
         boolean done = iterator1.isDone() && iterator2.isDone();
","
             return false;
         }
         PathIterator iterator1 = p1.getPathIterator(null);
        PathIterator iterator2 = p2.getPathIterator(null);
         double[] d1 = new double[6];
         double[] d2 = new double[6];
         boolean done = iterator1.isDone() && iterator2.isDone();
"
"13","java.lang.IllegalArgumentException","/source/org/jfree/chart/block/BorderArrangement.java","
         h[3] = h[2];
         if (this.rightBlock != null) {
             RectangleConstraint c4 = new RectangleConstraint(0.0,
                    new Range(0.0, constraint.getWidth() - w[2]),
                     LengthConstraintType.RANGE, h[2], null,
                     LengthConstraintType.FIXED);
             Size2D size = this.rightBlock.arrange(g2, c4);
","
         h[3] = h[2];
         if (this.rightBlock != null) {
             RectangleConstraint c4 = new RectangleConstraint(0.0,
                    new Range(0.0, Math.max(constraint.getWidth() - w[2], 0.0)),
                     LengthConstraintType.RANGE, h[2], null,
                     LengthConstraintType.FIXED);
             Size2D size = this.rightBlock.arrange(g2, c4);
"
"14","java.lang.IndexOutOfBoundsException","/source/org/jfree/data/DefaultKeyedValues.java","
     public void removeValue(int index) {
         this.keys.remove(index);
         this.values.remove(index);
        if (index < this.keys.size()) {
         rebuildIndex();
        }
     }
 
     public void removeValue(Comparable key) {
         int index = getIndex(key);
         if (index < 0) {
			return;
         }
         removeValue(index);
     }
  

     public void removeColumn(Comparable columnKey) {
         Iterator iterator = this.rows.iterator();
         while (iterator.hasNext()) {
             DefaultKeyedValues rowData = (DefaultKeyedValues) iterator.next();
                 rowData.removeValue(columnKey);
         }
         this.columnKeys.remove(columnKey);
     }
 
     
","
     public void removeValue(int index) {
         this.keys.remove(index);
         this.values.remove(index);
         rebuildIndex();
     }
 
     
     public void removeValue(Comparable key) {
         int index = getIndex(key);
         if (index < 0) {
            throw new UnknownKeyException(""The key ("" + key 
                    + "") is not recognised."");
         }
         removeValue(index);
     }
     
     

     public void removeColumn(Comparable columnKey) {
    	if (columnKey == null) {
    		throw new IllegalArgumentException(""Null 'columnKey' argument."");
    	}
    	if (!this.columnKeys.contains(columnKey)) {
    		throw new UnknownKeyException(""Unknown key: "" + columnKey);
    	}
         Iterator iterator = this.rows.iterator();
         while (iterator.hasNext()) {
             DefaultKeyedValues rowData = (DefaultKeyedValues) iterator.next();
            int index = rowData.getIndex(columnKey);
            if (index >= 0) {
                 rowData.removeValue(columnKey);
            }
         }
         this.columnKeys.remove(columnKey);
     }
 
     
"
"15","java.lang.NullPointerException","/source/org/jfree/chart/plot/CategoryPlot.java","
             markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer(
                     index));
         }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer(
                     index));
         }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer(
                     index));
         }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer(
                     index));
         }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();
","
             markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer(
                     index));
         }
        if (markers == null) {
            return false;
        }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer(
                     index));
         }
        if (markers == null) {
            return false;
        }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer(
                     index));
         }
        if (markers == null) {
            return false;
        }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();

             markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer(
                     index));
         }
        if (markers == null) {
            return false;
        }
         boolean removed = markers.remove(marker);
         if (removed && notify) {
             fireChangeEvent();
"
"16","junit.framework.AssertionFailedError","/source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java","
                 && this.minimumRangeValueColumn == c))  {
             updateBounds();
         }
             double minval = Double.NaN;
             if (item.getMinOutlier() != null) {

                 this.minimumRangeValueRow = r;
                 this.minimumRangeValueColumn = c;
             }
         this.rangeBounds = new Range(this.minimumRangeValue,
               this.maximumRangeValue);

      
     private void updateBounds() {
         this.minimumRangeValue = Double.NaN;
         this.maximumRangeValue = Double.NaN;
     }
","
                 && this.minimumRangeValueColumn == c))  {
             updateBounds();
         }
        else {
         
             double minval = Double.NaN;
             if (item.getMinOutlier() != null) {

                 this.minimumRangeValueRow = r;
                 this.minimumRangeValueColumn = c;
             }
        }
         
         this.rangeBounds = new Range(this.minimumRangeValue,
               this.maximumRangeValue);

      
     private void updateBounds() {
         this.minimumRangeValue = Double.NaN;
        this.minimumRangeValueRow = -1;
        this.minimumRangeValueColumn = -1;
         this.maximumRangeValue = Double.NaN;
        this.maximumRangeValueRow = -1;
        this.maximumRangeValueColumn = -1;
        int rowCount = getRowCount();
        int columnCount = getColumnCount();
        for (int r = 0; r < rowCount; r++) {
            for (int c = 0; c < columnCount; c++) {
                BoxAndWhiskerItem item = getItem(r, c);
                if (item != null) {
                    Number min = item.getMinOutlier();
                    if (min != null) {
                        double minv = min.doubleValue();
                        if (!Double.isNaN(minv)) {
                            if (minv < this.minimumRangeValue || Double.isNaN(
                                    this.minimumRangeValue)) {
                                this.minimumRangeValue = minv;
                                this.minimumRangeValueRow = r;
                                this.minimumRangeValueColumn = c;
                            }
                        }
                    }
                    Number max = item.getMaxOutlier();
                    if (max != null) {
                        double maxv = max.doubleValue();
                        if (!Double.isNaN(maxv)) {
                            if (maxv > this.maximumRangeValue || Double.isNaN(
                                    this.maximumRangeValue)) {
                                this.maximumRangeValue = maxv;
                                this.maximumRangeValueRow = r;
                                this.maximumRangeValueColumn = c;
                            }
                        }
                    }
                }
            }
        }
     }
     
"
"17","junit.framework.AssertionFailedError","/source/org/jfree/chart/plot/PiePlot.java","
         double result = 0.0;
         Iterator iterator = this.dataset.getKeys().iterator();
         while (iterator.hasNext()) {

      
         PiePlotState state = new PiePlotState(info);
         state.setPassesRequired(2);
             state.setTotal(DatasetUtilities.calculatePieDatasetTotal(
                     plot.getDataset()));
         state.setLatestAngle(plot.getStartAngle());
         return state;
         
","
     public double getMaximumExplodePercent() {
        if (this.dataset == null) {
            return 0.0;
        }
         double result = 0.0;
         Iterator iterator = this.dataset.getKeys().iterator();
         while (iterator.hasNext()) {

      
         PiePlotState state = new PiePlotState(info);
         state.setPassesRequired(2);
        if (this.dataset != null) {
             state.setTotal(DatasetUtilities.calculatePieDatasetTotal(
                     plot.getDataset()));
        }
         state.setLatestAngle(plot.getStartAngle());
         return state;
         
"
"18","java.lang.NullPointerException","/source/org/jfree/data/category/DefaultIntervalCategoryDataset.java","
 
             }
             else {
                this.seriesKeys = null;
                this.categoryKeys = null;
             }
         }
 

         if (categoryKeys == null) {
             throw new IllegalArgumentException(""Null 'categoryKeys' argument."");
         }
        if (categoryKeys.length != this.startData[0].length) {
             throw new IllegalArgumentException(
                     ""The number of categories does not match the data."");
         }
","
 
             }
             else {
                this.seriesKeys = new Comparable[0];
                this.categoryKeys = new Comparable[0];
             }
         }
 

         if (categoryKeys == null) {
             throw new IllegalArgumentException(""Null 'categoryKeys' argument."");
         }
        if (categoryKeys.length != getCategoryCount()) {
             throw new IllegalArgumentException(
                     ""The number of categories does not match the data."");
         }
"
"19","java.lang.IllegalArgumentException","/source/org/jfree/data/time/TimeSeries.java","
        Object clone = createCopy(0, getItemCount() - 1);
         return clone;
     }
 
","
        TimeSeries clone = (TimeSeries) super.clone();
        clone.data = (List) ObjectUtilities.deepClone(this.data);
         return clone;
     }
 
"
"20","junit.framework.AssertionFailedError","/source/org/jfree/chart/plot/ValueMarker.java","
      
     public ValueMarker(double value, Paint paint, Stroke stroke, 
                        Paint outlinePaint, Stroke outlineStroke, float alpha) {
        super(paint, stroke, paint, stroke, alpha);
         this.value = value;
     }
     
","
      
     public ValueMarker(double value, Paint paint, Stroke stroke, 
                        Paint outlinePaint, Stroke outlineStroke, float alpha) {
        super(paint, stroke, outlinePaint, outlineStroke, alpha);
         this.value = value;
     }
     
"
"21","junit.framework.AssertionFailedError","/source/org/jfree/chart/plot/CategoryPlot.java","
  
     public int getDomainAxisIndex(CategoryAxis axis) {
         return this.domainAxes.indexOf(axis);
     }
     

         int result = this.rangeAxes.indexOf(axis);
         if (result < 0) {              Plot parent = getParent();
","
  
     public int getDomainAxisIndex(CategoryAxis axis) {
        if (axis == null) {
            throw new IllegalArgumentException(""Null 'axis' argument."");
        }
         return this.domainAxes.indexOf(axis);
     }
     

 
     public int getRangeAxisIndex(ValueAxis axis) {
        if (axis == null) {
            throw new IllegalArgumentException(""Null 'axis' argument."");
        }
         int result = this.rangeAxes.indexOf(axis);
         if (result < 0) {              Plot parent = getParent();
"
"22","org.jfree.data.UnknownKeyException","/source/org/jfree/data/KeyedObjects2D.java","
             throw new UnknownKeyException(""Column key ("" + columnKey 
                     + "") not recognised."");
         }
        if (row >= 0) {
         KeyedObjects rowData = (KeyedObjects) this.rows.get(row);
            return rowData.getObject(columnKey);
         }
         else {
             return null;

         }
         
              }

     public void removeRow(Comparable rowKey) {
         int index = getRowIndex(rowKey);
         removeRow(index);
     }
 

         Iterator iterator = this.rows.iterator();
         while (iterator.hasNext()) {
             KeyedObjects rowData = (KeyedObjects) iterator.next();
                rowData.removeValue(columnKey);
         }
         this.columnKeys.remove(columnKey);
     }
","
             throw new UnknownKeyException(""Column key ("" + columnKey 
                     + "") not recognised."");
         }
         KeyedObjects rowData = (KeyedObjects) this.rows.get(row);
        int index = rowData.getIndex(columnKey);
        if (index >= 0) {
            return rowData.getObject(index);
         }
         else {
             return null;

         }
         
                 allNull = true;
         
        for (int item = 0, itemCount = this.rows.size(); item < itemCount; 
             item++) {
            row = (KeyedObjects) this.rows.get(item);
            int columnIndex = row.getIndex(columnKey);
            if (columnIndex >= 0 && row.getObject(columnIndex) != null) {
                allNull = false;
                break;
            }
        }
         
        if (allNull) {
            for (int item = 0, itemCount = this.rows.size(); item < itemCount; 
                 item++) {
                row = (KeyedObjects) this.rows.get(item);
                int columnIndex = row.getIndex(columnKey);
                if (columnIndex >= 0) {
                    row.removeValue(columnIndex);
                }
            }
            this.columnKeys.remove(columnKey);
        }
     }
 

     public void removeRow(Comparable rowKey) {
         int index = getRowIndex(rowKey);
        if (index < 0) {
            throw new UnknownKeyException(""Row key ("" + rowKey 
                    + "") not recognised."");
        }
         removeRow(index);
     }
 

         Iterator iterator = this.rows.iterator();
         while (iterator.hasNext()) {
             KeyedObjects rowData = (KeyedObjects) iterator.next();
            int i = rowData.getIndex(columnKey);
            if (i >= 0) {
                rowData.removeValue(i);
            }
         }
         this.columnKeys.remove(columnKey);
     }
"
"23","junit.framework.AssertionFailedError","/source/org/jfree/chart/axis/Axis.java","
         }
         if (plotState != null && hotspot != null) {
             ChartRenderingInfo owner = plotState.getOwner();
                 EntityCollection entities = owner.getEntityCollection();
                 if (entities != null) {
                     entities.add(new AxisLabelEntity(this, hotspot, 
                             this.labelToolTip, this.labelURL));
                 }
         }
         return state;
 
","
         }
         if (plotState != null && hotspot != null) {
             ChartRenderingInfo owner = plotState.getOwner();
            if (owner != null) {
                 EntityCollection entities = owner.getEntityCollection();
                 if (entities != null) {
                     entities.add(new AxisLabelEntity(this, hotspot, 
                             this.labelToolTip, this.labelURL));
                 }
            }
         }
         return state;
 
"
"24","junit.framework.AssertionFailedError","/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java","
 
                  Number meanValue = dataset.getMeanValue(row, column);
 
         double value = meanValue.doubleValue();
         double base = 0.0;

 
                     double valueDelta = dataset.getStdDevValue(row, column).doubleValue();
             double highVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 
                     + valueDelta, dataArea, yAxisLocation);
             double lowVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 

                                      lowVal, rectY + rectHeight * 0.75);
             g2.draw(line);
         
         CategoryItemLabelGenerator generator = getItemLabelGenerator(row, 
                 column);

 
                  Number meanValue = dataset.getMeanValue(row, column);
 
         double value = meanValue.doubleValue();
         double base = 0.0;

 
                     double valueDelta = dataset.getStdDevValue(row, column).doubleValue();
             double highVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 
                     + valueDelta, dataArea, yAxisLocation);
             double lowVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 

                                      rectX + rectWidth / 2.0d + 5.0d, lowVal);
             g2.draw(line);
         
         CategoryItemLabelGenerator generator = getItemLabelGenerator(row, 
                 column);
","
 
                  Number meanValue = dataset.getMeanValue(row, column);
        if (meanValue == null) {
            return;
        }
 
         double value = meanValue.doubleValue();
         double base = 0.0;

 
                 Number n = dataset.getStdDevValue(row, column);
        if (n != null) {
            double valueDelta = n.doubleValue();
             double highVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 
                     + valueDelta, dataArea, yAxisLocation);
             double lowVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 

                                      lowVal, rectY + rectHeight * 0.75);
             g2.draw(line);
        }
         
         CategoryItemLabelGenerator generator = getItemLabelGenerator(row, 
                 column);

 
                  Number meanValue = dataset.getMeanValue(row, column);
        if (meanValue == null) {
            return;
        }
 
         double value = meanValue.doubleValue();
         double base = 0.0;

 
                 Number n = dataset.getStdDevValue(row, column);
        if (n != null) {
            double valueDelta = n.doubleValue();
             double highVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 
                     + valueDelta, dataArea, yAxisLocation);
             double lowVal = rangeAxis.valueToJava2D(meanValue.doubleValue() 

                                      rectX + rectWidth / 2.0d + 5.0d, lowVal);
             g2.draw(line);
        }
         
         CategoryItemLabelGenerator generator = getItemLabelGenerator(row, 
                 column);
"
"25","junit.framework.AssertionFailedError","/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java","
    
","
    public boolean equals(Object obj) {
        if (obj == this) {
            return true;
        }
        if (!(obj instanceof MinMaxCategoryRenderer)) {
            return false;
        }
        MinMaxCategoryRenderer that = (MinMaxCategoryRenderer) obj;
        if (this.plotLines != that.plotLines) {
            return false;
        }
        if (!PaintUtilities.equal(this.groupPaint, that.groupPaint)) {
            return false;
        }
        if (!this.groupStroke.equals(that.groupStroke)) {
            return false;
        }
        return super.equals(obj);
    }
 
"
"26","java.lang.IllegalArgumentException","/source/org/jfree/chart/renderer/GrayPaintScale.java","
     public Paint getPaint(double value) {
         double v = Math.max(value, this.lowerBound);
         v = Math.min(v, this.upperBound);
        int g = (int) ((value - this.lowerBound) / (this.upperBound 
                 - this.lowerBound) * 255.0);
         return new Color(g, g, g);
     }
","
     public Paint getPaint(double value) {
         double v = Math.max(value, this.lowerBound);
         v = Math.min(v, this.upperBound);
        int g = (int) ((v - this.lowerBound) / (this.upperBound 
                 - this.lowerBound) * 255.0);
         return new Color(g, g, g);
     }
"
"27","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java","
     reachingUses = new MaybeReachingVariableUse(cfg, t.getScope(), compiler);
     reachingUses.analyze();
     for (Candidate c : candidates) {
      if (c.canInline()) {
         c.inlineVariable();
 
         
       return defMetadata.node;
     }
 
    private boolean canInline() {
              if (getDefCfgNode().isFunction()) {
         return false;

                   case Token.REGEXP:
                   case Token.NEW:
                     return true;
                 }
                 return false;
               }
","
     reachingUses = new MaybeReachingVariableUse(cfg, t.getScope(), compiler);
     reachingUses.analyze();
     for (Candidate c : candidates) {
      if (c.canInline(t.getScope())) {
         c.inlineVariable();
 
         
       return defMetadata.node;
     }
 
    private boolean canInline(final Scope scope) {
              if (getDefCfgNode().isFunction()) {
         return false;

                   case Token.REGEXP:
                   case Token.NEW:
                     return true;
                  case Token.NAME:
                    Var var = scope.getOwnSlot(input.getString());
                    if (var != null
                        && var.getParentNode().isCatch()) {
                      return true;
                    }
                 }
                 return false;
               }
"
"28","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java","
     public JSType caseObjectType(ObjectType type) {
       if (value.equals(""function"")) {
         JSType ctorType = getNativeType(U2U_CONSTRUCTOR_TYPE);
        return resultEqualsValue && ctorType.isSubtype(type) ? ctorType : null;
                             }
       return matchesExpectation(""object"") ? type : null;
     }
","
     public JSType caseObjectType(ObjectType type) {
       if (value.equals(""function"")) {
         JSType ctorType = getNativeType(U2U_CONSTRUCTOR_TYPE);
        if (resultEqualsValue) {
                     return ctorType.getGreatestSubtype(type);
        } else {
                     return type.isSubtype(ctorType) ? null : type;
        }
       }
       return matchesExpectation(""object"") ? type : null;
     }
"
"29","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/InlineObjectLiterals.java","
 
                       
                      ","
 
                                if (gramps.isDelProp()) {
            return false;
          }
 
                      "
"30","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/TypeValidator.java","
       JSType leftType, Node owner, String propName) {
          if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
      if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
        registerMismatch(rightType, leftType, null);
      } else {
                     
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
      }
       return false;
     }
     return true;

   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
      if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
        registerMismatch(rightType, leftType, null);
      } else {
       mismatch(t, n, msg, rightType, leftType);
      }
       return false;
     }
     return true;
","
       JSType leftType, Node owner, String propName) {
          if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
                     
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
       return false;
     }
     return true;

   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
       mismatch(t, n, msg, rightType, leftType);
       return false;
     }
     return true;
"
"31","java.lang.NullPointerException","/src/com/google/javascript/jscomp/TypeCheck.java","
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
                     currentPropertyNames = implicitProto.getOwnPropertyNames();
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
","
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
    if (implicitProto == null) {
                    currentPropertyNames = ImmutableSet.of();
    } else {
       currentPropertyNames = implicitProto.getOwnPropertyNames();
    }
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
"
"32","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/RemoveUnusedVars.java","
                
     Node function = fnScope.getRootNode();
 
","
                   if (!removeGlobals) {
      return;
    }
 
     Node function = fnScope.getRootNode();
 
"
"33","junit.framework.AssertionFailedError","/src/com/google/javascript/rhino/jstype/NamedType.java","
               boolean resolved = resolveViaRegistry(t, enclosing);
    if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 

     }
 
     resolveViaProperties(t, enclosing);
    if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 
","
               boolean resolved = resolveViaRegistry(t, enclosing);
    if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 

     }
 
     resolveViaProperties(t, enclosing);
    if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 
"
"34","junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/CollapseVariableDeclarations.java","
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
           && !blacklistedVars.contains(var);
     }
   }
 
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
","
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
          && !isNamedParameter(var)
           && !blacklistedVars.contains(var);
     }
   }
 
  private boolean isNamedParameter(Var v) {
    return v.getParentNode().isParamList();
  }
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
"
