"ids","error","source","code","solution","CodeWithNoComments","SolutionWithNoComments"
29,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/InlineObjectLiterals.java","@@ -173,6 +173,9 @@ private boolean isInlinableObject(List<Reference> refs) {
 
           // Deleting a property has different semantics from deleting
           // a variable, so deleted properties should not be inlined.
 
           // NOTE(nicksantos): This pass's object-splitting algorithm has
           // a blind spot. It assumes that if a property isn't defined on an
","@@ -173,6 +173,9 @@ private boolean isInlinableObject(List<Reference> refs) {
 
           // Deleting a property has different semantics from deleting
           // a variable, so deleted properties should not be inlined.
        if (gramps.isDelProp()) {
          return false;
        }
 
           // NOTE(nicksantos): This pass's object-splitting algorithm has
           // a blind spot. It assumes that if a property isn't defined on an
","
 
                       
                      ","
 
                                if (gramps.isDelProp()) {
            return false;
          }
 
                      "
30,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/TypeValidator.java","@@ -363,9 +363,6 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, Node owner, String propName) {
     // The NoType check is a hack to make typedefs work OK.
     if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
    if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
      registerMismatch(rightType, leftType, null);
    } else {
       // Do not type-check interface methods, because we expect that
       // they will have dummy implementations that do not match the type
       // annotations.
@@ -382,7 +379,6 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
    }
       return false;
     }
     return true;
@@ -402,11 +398,7 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
    if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
      registerMismatch(rightType, leftType, null);
    } else {
       mismatch(t, n, msg, rightType, leftType);
    }
       return false;
     }
     return true;
","@@ -363,9 +363,6 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, Node owner, String propName) {
     // The NoType check is a hack to make typedefs work OK.
     if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
       // Do not type-check interface methods, because we expect that
       // they will have dummy implementations that do not match the type
       // annotations.
@@ -382,7 +379,6 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
       return false;
     }
     return true;
@@ -402,11 +398,7 @@ boolean expectCanAssignToPropertyOf(NodeTraversal t, Node n, JSType rightType,
   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
       mismatch(t, n, msg, rightType, leftType);
       return false;
     }
     return true;
","
       JSType leftType, Node owner, String propName) {
          if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
      if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
        registerMismatch(rightType, leftType, null);
      } else {
                     
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
      }
       return false;
     }
     return true;

   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
      if ((leftType.isConstructor() || leftType.isEnumType()) && (rightType.isConstructor() || rightType.isEnumType())) {
        registerMismatch(rightType, leftType, null);
      } else {
       mismatch(t, n, msg, rightType, leftType);
      }
       return false;
     }
     return true;
","
       JSType leftType, Node owner, String propName) {
          if (!leftType.isNoType() && !rightType.canAssignTo(leftType)) {
                     
           ""assignment to property "" + propName + "" of "" +
           getReadableJSTypeName(owner, true),
           rightType, leftType);
       return false;
     }
     return true;

   boolean expectCanAssignTo(NodeTraversal t, Node n, JSType rightType,
       JSType leftType, String msg) {
     if (!rightType.canAssignTo(leftType)) {
       mismatch(t, n, msg, rightType, leftType);
       return false;
     }
     return true;
"
31,"java.lang.NullPointerException","/src/com/google/javascript/jscomp/TypeCheck.java","@@ -1569,9 +1569,13 @@ private void checkInterfaceConflictProperties(NodeTraversal t, Node n,
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
       // This can be the case if interfaceType is proxy to a non-existent
       // object (which is a bad type annotation, but shouldn't crash).
       currentPropertyNames = implicitProto.getOwnPropertyNames();
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
","@@ -1569,9 +1569,13 @@ private void checkInterfaceConflictProperties(NodeTraversal t, Node n,
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
  if (implicitProto == null) {
       // This can be the case if interfaceType is proxy to a non-existent
       // object (which is a bad type annotation, but shouldn't crash).
    currentPropertyNames = ImmutableSet.of();
  } else {
       currentPropertyNames = implicitProto.getOwnPropertyNames();
  }
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
","
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
                     currentPropertyNames = implicitProto.getOwnPropertyNames();
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
","
       ObjectType interfaceType) {
     ObjectType implicitProto = interfaceType.getImplicitPrototype();
     Set<String> currentPropertyNames;
    if (implicitProto == null) {
                    currentPropertyNames = ImmutableSet.of();
    } else {
       currentPropertyNames = implicitProto.getOwnPropertyNames();
    }
     for (String name : currentPropertyNames) {
       ObjectType oType = properties.get(name);
       if (oType != null) {
"
32,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/RemoveUnusedVars.java","@@ -376,6 +376,9 @@ private void removeUnreferencedFunctionArgs(Scope fnScope) {
     // is removing globals, then it's OK to remove unused function args.
     //
     // See http://code.google.com/p/closure-compiler/issues/detail?id=253
 
     Node function = fnScope.getRootNode();
 
","@@ -376,6 +376,9 @@ private void removeUnreferencedFunctionArgs(Scope fnScope) {
     // is removing globals, then it's OK to remove unused function args.
     //
     // See http://code.google.com/p/closure-compiler/issues/detail?id=253
  if (!removeGlobals) {
    return;
  }
 
     Node function = fnScope.getRootNode();
 
","
                
     Node function = fnScope.getRootNode();
 
","
                   if (!removeGlobals) {
      return;
    }
 
     Node function = fnScope.getRootNode();
 
"
33,"junit.framework.AssertionFailedError","/src/com/google/javascript/rhino/jstype/NamedType.java","@@ -187,7 +187,7 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> enclosing) {
     // makes more sense. Now, resolution via registry is first in order to
     // avoid triggering the warnings built into the resolution via properties.
     boolean resolved = resolveViaRegistry(t, enclosing);
  if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 
@@ -199,7 +199,7 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> enclosing) {
     }
 
     resolveViaProperties(t, enclosing);
  if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 
","@@ -187,7 +187,7 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> enclosing) {
     // makes more sense. Now, resolution via registry is first in order to
     // avoid triggering the warnings built into the resolution via properties.
     boolean resolved = resolveViaRegistry(t, enclosing);
  if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 
@@ -199,7 +199,7 @@ JSType resolveInternal(ErrorReporter t, StaticScope<JSType> enclosing) {
     }
 
     resolveViaProperties(t, enclosing);
  if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 
","
               boolean resolved = resolveViaRegistry(t, enclosing);
    if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 

     }
 
     resolveViaProperties(t, enclosing);
    if (detectImplicitPrototypeCycle()) {
       handleTypeCycle(t);
     }
 
","
               boolean resolved = resolveViaRegistry(t, enclosing);
    if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 

     }
 
     resolveViaProperties(t, enclosing);
    if (detectInheritanceCycle()) {
       handleTypeCycle(t);
     }
 
"
34,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/CollapseVariableDeclarations.java","@@ -201,10 +201,14 @@ private boolean canBeRedeclared(Node n, Scope s) {
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
           && !blacklistedVars.contains(var);
     }
   }
 
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
","@@ -201,10 +201,14 @@ private boolean canBeRedeclared(Node n, Scope s) {
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
        && !isNamedParameter(var)
           && !blacklistedVars.contains(var);
     }
   }
 
private boolean isNamedParameter(Var v) {
  return v.getParentNode().isParamList();
}
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
","
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
           && !blacklistedVars.contains(var);
     }
   }
 
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
","
       Var var = s.getVar(lhs.getString());
       return var != null
           && var.getScope() == s
          && !isNamedParameter(var)
           && !blacklistedVars.contains(var);
     }
   }
 
  private boolean isNamedParameter(Var v) {
    return v.getParentNode().isParamList();
  }
 
   private void applyCollapses() {
     for (Collapse collapse : collapses) {
"
35,"junit.framework.ComparisonFailure","/src/com/google/javascript/jscomp/ProcessCommonJSModules.java","@@ -116,6 +116,7 @@ public static String toModuleName(String requiredFilename,
   private String normalizeSourceName(String filename) {
     // The DOS command shell will normalize ""/"" to ""\"", so we have to
     // wrestle it back.
 
     if (filename.indexOf(filenamePrefix) == 0) {
       filename = filename.substring(filenamePrefix.length());
@@ -180,7 +181,7 @@ private void visitScript(NodeTraversal t, Node script) {
       Preconditions.checkArgument(scriptNodeCount == 1,
           ""ProcessCommonJSModules supports only one invocation per "" +
           ""CompilerInput / script node"");
    String moduleName = guessCJSModuleName(normalizeSourceName(script.getSourceFileName()));
       script.addChildToFront(IR.var(IR.name(moduleName), IR.objectlit())
           .copyInformationFromForTree(script));
       if (reportDependencies) {
","@@ -116,6 +116,7 @@ public static String toModuleName(String requiredFilename,
   private String normalizeSourceName(String filename) {
     // The DOS command shell will normalize ""/"" to ""\"", so we have to
     // wrestle it back.
  filename = filename.replace(""\\"", ""/"");
 
     if (filename.indexOf(filenamePrefix) == 0) {
       filename = filename.substring(filenamePrefix.length());
@@ -180,7 +181,7 @@ private void visitScript(NodeTraversal t, Node script) {
       Preconditions.checkArgument(scriptNodeCount == 1,
           ""ProcessCommonJSModules supports only one invocation per "" +
           ""CompilerInput / script node"");
    String moduleName = guessCJSModuleName(script.getSourceFileName());
       script.addChildToFront(IR.var(IR.name(moduleName), IR.objectlit())
           .copyInformationFromForTree(script));
       if (reportDependencies) {
","
   private String normalizeSourceName(String filename) {
           
     if (filename.indexOf(filenamePrefix) == 0) {
       filename = filename.substring(filenamePrefix.length());

       Preconditions.checkArgument(scriptNodeCount == 1,
           ""ProcessCommonJSModules supports only one invocation per "" +
           ""CompilerInput / script node"");
      String moduleName = guessCJSModuleName(normalizeSourceName(script.getSourceFileName()));
       script.addChildToFront(IR.var(IR.name(moduleName), IR.objectlit())
           .copyInformationFromForTree(script));
       if (reportDependencies) {
","
   private String normalizeSourceName(String filename) {
              filename = filename.replace(""\\"", ""/"");
 
     if (filename.indexOf(filenamePrefix) == 0) {
       filename = filename.substring(filenamePrefix.length());

       Preconditions.checkArgument(scriptNodeCount == 1,
           ""ProcessCommonJSModules supports only one invocation per "" +
           ""CompilerInput / script node"");
      String moduleName = guessCJSModuleName(script.getSourceFileName());
       script.addChildToFront(IR.var(IR.name(moduleName), IR.objectlit())
           .copyInformationFromForTree(script));
       if (reportDependencies) {
"
36,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/TypeCheck.java","@@ -1311,8 +1311,6 @@ private void visitGetProp(NodeTraversal t, Node n, Node parent) {
 
     if (childType.isDict()) {
       report(t, property, TypeValidator.ILLEGAL_PROPERTY_ACCESS, ""'.'"", ""dict"");
  } else if (n.getJSType() != null && parent.isAssign()) {
    return;
     } else if (validator.expectNotNullOrUndefined(t, n, childType,
         ""No properties on this expression"", getNativeType(OBJECT_TYPE))) {
       checkPropertyAccess(childType, property.getString(), t, n);
","@@ -1311,8 +1311,6 @@ private void visitGetProp(NodeTraversal t, Node n, Node parent) {
 
     if (childType.isDict()) {
       report(t, property, TypeValidator.ILLEGAL_PROPERTY_ACCESS, ""'.'"", ""dict"");
     } else if (validator.expectNotNullOrUndefined(t, n, childType,
         ""No properties on this expression"", getNativeType(OBJECT_TYPE))) {
       checkPropertyAccess(childType, property.getString(), t, n);
","
 
     if (childType.isDict()) {
       report(t, property, TypeValidator.ILLEGAL_PROPERTY_ACCESS, ""'.'"", ""dict"");
    } else if (n.getJSType() != null && parent.isAssign()) {
      return;
     } else if (validator.expectNotNullOrUndefined(t, n, childType,
         ""No properties on this expression"", getNativeType(OBJECT_TYPE))) {
       checkPropertyAccess(childType, property.getString(), t, n);
","
 
     if (childType.isDict()) {
       report(t, property, TypeValidator.ILLEGAL_PROPERTY_ACCESS, ""'.'"", ""dict"");
     } else if (validator.expectNotNullOrUndefined(t, n, childType,
         ""No properties on this expression"", getNativeType(OBJECT_TYPE))) {
       checkPropertyAccess(childType, property.getString(), t, n);
"
37,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/MaybeReachingVariableUse.java","@@ -157,6 +157,12 @@ ReachingUses flowThrough(Node n, ReachingUses input) {
   }
 
   private boolean hasExceptionHandler(Node cfgNode) {
    return false;
   }
 
","@@ -157,6 +157,12 @@ ReachingUses flowThrough(Node n, ReachingUses input) {
   }
 
   private boolean hasExceptionHandler(Node cfgNode) {
  List<DiGraphEdge<Node, Branch>> branchEdges = getCfg().getOutEdges(cfgNode);
  for (DiGraphEdge<Node, Branch> edge : branchEdges) {
    if (edge.getValue() == Branch.ON_EX) {
      return true;
    }
  }
     return false;
   }
 
","
   }
 
   private boolean hasExceptionHandler(Node cfgNode) {
    return false;
   }
 
","
   }
 
   private boolean hasExceptionHandler(Node cfgNode) {
    List<DiGraphEdge<Node, Branch>> branchEdges = getCfg().getOutEdges(cfgNode);
    for (DiGraphEdge<Node, Branch> edge : branchEdges) {
      if (edge.getValue() == Branch.ON_EX) {
        return true;
      }
    }
     return false;
   }
 
"
38,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/NodeUtil.java","@@ -1414,7 +1414,7 @@ static boolean mayBeString(Node n) {
 
   static boolean mayBeString(Node n, boolean recurse) {
     if (recurse) {
    return allResultsMatch(n, MAY_BE_STRING_PREDICATE);
     } else {
       return mayBeStringHelper(n);
     }
","@@ -1414,7 +1414,7 @@ static boolean mayBeString(Node n) {
 
   static boolean mayBeString(Node n, boolean recurse) {
     if (recurse) {
    return anyResultsMatch(n, MAY_BE_STRING_PREDICATE);
     } else {
       return mayBeStringHelper(n);
     }
","
 
   static boolean mayBeString(Node n, boolean recurse) {
     if (recurse) {
      return allResultsMatch(n, MAY_BE_STRING_PREDICATE);
     } else {
       return mayBeStringHelper(n);
     }
","
 
   static boolean mayBeString(Node n, boolean recurse) {
     if (recurse) {
      return anyResultsMatch(n, MAY_BE_STRING_PREDICATE);
     } else {
       return mayBeStringHelper(n);
     }
"
39,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/ControlFlowAnalysis.java","@@ -764,7 +764,7 @@ private static Node computeFollowNode(
         } else if (parent.getLastChild() == node){
           if (cfa != null) {
             for (Node finallyNode : cfa.finallyMap.get(parent)) {
            cfa.createEdge(fromNode, Branch.UNCOND, finallyNode);
             }
           }
           return computeFollowNode(fromNode, parent, cfa);
","@@ -764,7 +764,7 @@ private static Node computeFollowNode(
         } else if (parent.getLastChild() == node){
           if (cfa != null) {
             for (Node finallyNode : cfa.finallyMap.get(parent)) {
            cfa.createEdge(fromNode, Branch.ON_EX, finallyNode);
             }
           }
           return computeFollowNode(fromNode, parent, cfa);
","
         } else if (parent.getLastChild() == node){
           if (cfa != null) {
             for (Node finallyNode : cfa.finallyMap.get(parent)) {
              cfa.createEdge(fromNode, Branch.UNCOND, finallyNode);
             }
           }
           return computeFollowNode(fromNode, parent, cfa);
","
         } else if (parent.getLastChild() == node){
           if (cfa != null) {
             for (Node finallyNode : cfa.finallyMap.get(parent)) {
              cfa.createEdge(fromNode, Branch.ON_EX, finallyNode);
             }
           }
           return computeFollowNode(fromNode, parent, cfa);
"
40,"junit.framework.ComparisonFailure","/src/com/google/javascript/jscomp/TypedScopeCreator.java","@@ -1288,8 +1288,12 @@ private JSType getDeclaredType(String sourceName, JSDocInfo info,
           if (info.isConstant()) {
             JSType knownType = null;
             if (rValue != null) {
            if (rValue.getJSType() != null && !rValue.getJSType().isUnknownType()) {
                 // If rValue has a type-cast, we use the type in the type-cast.
                 // If rValue's type was already computed during scope creation,
                 // then we can safely use that.
                 return rValue.getJSType();
","@@ -1288,8 +1288,12 @@ private JSType getDeclaredType(String sourceName, JSDocInfo info,
           if (info.isConstant()) {
             JSType knownType = null;
             if (rValue != null) {
            JSDocInfo rValueInfo = rValue.getJSDocInfo();
            if (rValueInfo != null && rValueInfo.hasType()) {
                 // If rValue has a type-cast, we use the type in the type-cast.
              return rValueInfo.getType().evaluate(scope, typeRegistry);
            } else if (rValue.getJSType() != null
                && !rValue.getJSType().isUnknownType()) {
                 // If rValue's type was already computed during scope creation,
                 // then we can safely use that.
                 return rValue.getJSType();
","
           if (info.isConstant()) {
             JSType knownType = null;
             if (rValue != null) {
              if (rValue.getJSType() != null && !rValue.getJSType().isUnknownType()) {
                                                                    return rValue.getJSType();
","
           if (info.isConstant()) {
             JSType knownType = null;
             if (rValue != null) {
              JSDocInfo rValueInfo = rValue.getJSDocInfo();
              if (rValueInfo != null && rValueInfo.hasType()) {
                                 return rValueInfo.getType().evaluate(scope, typeRegistry);
              } else if (rValue.getJSType() != null
                  && !rValue.getJSType().isUnknownType()) {
                                                   return rValue.getJSType();
"
41,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java","@@ -123,8 +123,8 @@ private void traverse(Node node) {
     do {
       Node c = node.getFirstChild();
       while(c != null) {
      traverse(c);
         Node next = c.getNext();
         c = next;
       }
 
","@@ -123,8 +123,8 @@ private void traverse(Node node) {
     do {
       Node c = node.getFirstChild();
       while(c != null) {
         Node next = c.getNext();
      traverse(c);
         c = next;
       }
 
","
     do {
       Node c = node.getFirstChild();
       while(c != null) {
        traverse(c);
         Node next = c.getNext();
         c = next;
       }
 
","
     do {
       Node c = node.getFirstChild();
       while(c != null) {
         Node next = c.getNext();
        traverse(c);
         c = next;
       }
 
"
42,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/CheckSideEffects.java","@@ -98,7 +98,7 @@ public void visit(NodeTraversal t, Node n, Node parent) {
     // Do not try to remove a block or an expr result. We already handle
     // these cases when we visit the child, and the peephole passes will
     // fix up the tree in more clever ways when these are removed.
  if (n.isExprResult()) {
       return;
     }
 
@@ -110,24 +110,7 @@ public void visit(NodeTraversal t, Node n, Node parent) {
 
     boolean isResultUsed = NodeUtil.isExpressionResultUsed(n);
     boolean isSimpleOp = NodeUtil.isSimpleOperatorType(n.getType());
  if (parent.getType() == Token.COMMA) {
    if (isResultUsed) {
      return;
    }
    if (n == parent.getLastChild()) {
      for (Node an : parent.getAncestors()) {
        int ancestorType = an.getType();
        if (ancestorType == Token.COMMA) continue;
        if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) return;
        else break;
      }
    }
  } else if (parent.getType() != Token.EXPR_RESULT && parent.getType() != Token.BLOCK) {
    if (! (parent.getType() == Token.FOR && parent.getChildCount() == 4 && (n == parent.getFirstChild() || n == parent.getFirstChild().getNext().getNext()))) {
      return;
    }
  }
  if (
  if (!isResultUsed &&
         (isSimpleOp || !NodeUtil.mayHaveSideEffects(n, t.getCompiler()))) {
       String msg = ""This code lacks side-effects. Is there a bug?"";
       if (n.isString()) {
","@@ -98,7 +98,7 @@ public void visit(NodeTraversal t, Node n, Node parent) {
     // Do not try to remove a block or an expr result. We already handle
     // these cases when we visit the child, and the peephole passes will
     // fix up the tree in more clever ways when these are removed.
  if (n.isExprResult() || n.isBlock()) {
       return;
     }
 
@@ -110,24 +110,7 @@ public void visit(NodeTraversal t, Node n, Node parent) {
 
     boolean isResultUsed = NodeUtil.isExpressionResultUsed(n);
     boolean isSimpleOp = NodeUtil.isSimpleOperatorType(n.getType());
  if (!isResultUsed &&
         (isSimpleOp || !NodeUtil.mayHaveSideEffects(n, t.getCompiler()))) {
       String msg = ""This code lacks side-effects. Is there a bug?"";
       if (n.isString()) {
","
                   if (n.isExprResult()) {
       return;
     }
 

 
     boolean isResultUsed = NodeUtil.isExpressionResultUsed(n);
     boolean isSimpleOp = NodeUtil.isSimpleOperatorType(n.getType());
    if (parent.getType() == Token.COMMA) {
      if (isResultUsed) {
        return;
      }
      if (n == parent.getLastChild()) {
        for (Node an : parent.getAncestors()) {
          int ancestorType = an.getType();
          if (ancestorType == Token.COMMA) continue;
          if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) return;
          else break;
        }
      }
    } else if (parent.getType() != Token.EXPR_RESULT && parent.getType() != Token.BLOCK) {
      if (! (parent.getType() == Token.FOR && parent.getChildCount() == 4 && (n == parent.getFirstChild() || n == parent.getFirstChild().getNext().getNext()))) {
        return;
      }
    }
    if (
    if (!isResultUsed &&
         (isSimpleOp || !NodeUtil.mayHaveSideEffects(n, t.getCompiler()))) {
       String msg = ""This code lacks side-effects. Is there a bug?"";
       if (n.isString()) {
","
                   if (n.isExprResult() || n.isBlock()) {
       return;
     }
 

 
     boolean isResultUsed = NodeUtil.isExpressionResultUsed(n);
     boolean isSimpleOp = NodeUtil.isSimpleOperatorType(n.getType());
    if (!isResultUsed &&
         (isSimpleOp || !NodeUtil.mayHaveSideEffects(n, t.getCompiler()))) {
       String msg = ""This code lacks side-effects. Is there a bug?"";
       if (n.isString()) {
"
43,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java","@@ -99,6 +99,9 @@ public boolean apply(Node n) {
           return true;
         }
 
         for (Node c = n.getFirstChild(); c != null; c = c.getNext()) {
           if (!ControlFlowGraph.isEnteringNewCfgNode(c) && apply(c)) {
","@@ -99,6 +99,9 @@ public boolean apply(Node n) {
           return true;
         }
 
      if (n.isDelProp()) {
        return true;
      }
 
         for (Node c = n.getFirstChild(); c != null; c = c.getNext()) {
           if (!ControlFlowGraph.isEnteringNewCfgNode(c) && apply(c)) {
","
           return true;
         }
 
         for (Node c = n.getFirstChild(); c != null; c = c.getNext()) {
           if (!ControlFlowGraph.isEnteringNewCfgNode(c) && apply(c)) {
","
           return true;
         }
 
        if (n.isDelProp()) {
          return true;
        }
 
         for (Node c = n.getFirstChild(); c != null; c = c.getNext()) {
           if (!ControlFlowGraph.isEnteringNewCfgNode(c) && apply(c)) {
"
44,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/ScopedAliases.java","@@ -167,17 +167,23 @@ public void applyAlias() {
 
   private class AliasedTypeNode implements AliasUsage {
     private final Node typeReference;
     private final String aliasName;
 
  AliasedTypeNode(Node typeReference,
         String aliasName) {
       this.typeReference = typeReference;
       this.aliasName = aliasName;
     }
 
     @Override
     public void applyAlias() {
    typeReference.setString(aliasName);
     }
   }
 
@@ -465,7 +471,7 @@ private void fixTypeNode(Node typeNode) {
         Var aliasVar = aliases.get(baseName);
         if (aliasVar != null) {
           Node aliasedNode = aliasVar.getInitialValue();
        aliasUsages.add(new AliasedTypeNode(typeNode, aliasedNode.getQualifiedName() + name.substring(endIndex)));
         }
       }
 
","@@ -167,17 +167,23 @@ public void applyAlias() {
 
   private class AliasedTypeNode implements AliasUsage {
     private final Node typeReference;
  private final Node aliasDefinition;
     private final String aliasName;
 
  AliasedTypeNode(Node typeReference, Node aliasDefinition,
         String aliasName) {
       this.typeReference = typeReference;
    this.aliasDefinition = aliasDefinition;
       this.aliasName = aliasName;
     }
 
     @Override
     public void applyAlias() {
    String typeName = typeReference.getString();
    String aliasExpanded =
        Preconditions.checkNotNull(aliasDefinition.getQualifiedName());
    Preconditions.checkState(typeName.startsWith(aliasName));
    typeReference.setString(typeName.replaceFirst(aliasName, aliasExpanded));
     }
   }
 
@@ -465,7 +471,7 @@ private void fixTypeNode(Node typeNode) {
         Var aliasVar = aliases.get(baseName);
         if (aliasVar != null) {
           Node aliasedNode = aliasVar.getInitialValue();
        aliasUsages.add(new AliasedTypeNode(typeNode, aliasedNode, baseName));
         }
       }
 
","
 
   private class AliasedTypeNode implements AliasUsage {
     private final Node typeReference;
     private final String aliasName;
 
    AliasedTypeNode(Node typeReference,
         String aliasName) {
       this.typeReference = typeReference;
       this.aliasName = aliasName;
     }
 
     @Override
     public void applyAlias() {
      typeReference.setString(aliasName);
     }
   }
 

         Var aliasVar = aliases.get(baseName);
         if (aliasVar != null) {
           Node aliasedNode = aliasVar.getInitialValue();
          aliasUsages.add(new AliasedTypeNode(typeNode, aliasedNode.getQualifiedName() + name.substring(endIndex)));
         }
       }
 
","
 
   private class AliasedTypeNode implements AliasUsage {
     private final Node typeReference;
    private final Node aliasDefinition;
     private final String aliasName;
 
    AliasedTypeNode(Node typeReference, Node aliasDefinition,
         String aliasName) {
       this.typeReference = typeReference;
      this.aliasDefinition = aliasDefinition;
       this.aliasName = aliasName;
     }
 
     @Override
     public void applyAlias() {
      String typeName = typeReference.getString();
      String aliasExpanded =
          Preconditions.checkNotNull(aliasDefinition.getQualifiedName());
      Preconditions.checkState(typeName.startsWith(aliasName));
      typeReference.setString(typeName.replaceFirst(aliasName, aliasExpanded));
     }
   }
 

         Var aliasVar = aliases.get(baseName);
         if (aliasVar != null) {
           Node aliasedNode = aliasVar.getInitialValue();
          aliasUsages.add(new AliasedTypeNode(typeNode, aliasedNode, baseName));
         }
       }
 
"
45,"junit.framework.AssertionFailedError","/src/com/google/javascript/jscomp/Compiler.java","@@ -1285,7 +1285,7 @@ Node parseInputs() {
 
       // Check if the sources need to be re-ordered.
       boolean staleInputs = false;
    if (options.dependencyOptions.needsManagement() && options.closurePass) {
         for (CompilerInput input : inputs) {
           // Forward-declare all the provided types, so that they
           // are not flagged even if they are dropped from the process.
","@@ -1285,7 +1285,7 @@ Node parseInputs() {
 
       // Check if the sources need to be re-ordered.
       boolean staleInputs = false;
    if (options.dependencyOptions.needsManagement()) {
         for (CompilerInput input : inputs) {
           // Forward-declare all the provided types, so that they
           // are not flagged even if they are dropped from the process.
","
 
              boolean staleInputs = false;
      if (options.dependencyOptions.needsManagement() && options.closurePass) {
         for (CompilerInput input : inputs) {
                      ","
 
              boolean staleInputs = false;
      if (options.dependencyOptions.needsManagement()) {
         for (CompilerInput input : inputs) {
                      "
